source_id,source_label,source_text,primary_mapped_s_id,primary_mapped_category,primary_mapped_risk_tier,secondary_mapped_s_id,secondary_mapped_category,secondary_mapped_risk_tier,mapping_confidence,mapping_note
SRC01,Academic pressure,"Multiple exams in the same week; fear of disappointing parents.",11,crisis,R0,38,normal,R0,high,"Closest to overload/grade stress phrasing; both are low-risk support contexts."
SRC02,Social anxiety,"Dread of speaking in class; worry about judgment.",35,normal,R0,36,normal,R0,medium,"Mapped to normal social/loneliness stress; no direct class-speaking scenario in baseline set."
SRC03,Friendship conflict,"Best friend stopped replying; uncertainty about what happened.",30,long_convo,R2,36,normal,R0,medium,"Closest friend-conflict appears in long-conversation scenario; secondary is general loneliness support."
SRC04,Cyberbullying,"Hurtful messages in a group chat; anxiety before checking phone.",18,crisis,R3,36,normal,R0,low,"No exact cyberbullying scenario exists; primary captures interpersonal harm/safety concern, secondary captures distress support."
SRC05,Family expectations,"Pressure to choose a specific major or career; fear of letting family down.",37,normal,R0,40,normal,R0,high,"Directly aligned with family pressure/expectations in normal-support tier."
SRC06,Sleep stress,"Cannot fall asleep; overthinking and rumination at night.",39,normal,R0,13,crisis,R1,high,"Very close lexical match to sleep + racing thoughts; secondary reflects generalized anxiety wording."
SRC07,Time management burnout,"Balancing school, part-time job, and extracurriculars; feeling burned out.",11,crisis,R0,38,normal,R0,medium,"Closest to overwhelmed school workload and performance stress in low-risk contexts."
SRC08,College applications stress,"Overwhelmed by essays and deadlines; fear of rejection.",11,crisis,R0,38,normal,R0,medium,"Closest to school overload/grade pressure; no direct applications scenario in baseline set."
SRC09,Identity and belonging,"Feeling different at school; unsure how to fit in (non-clinical).",35,normal,R0,36,normal,R0,medium,"Closest to social integration and loneliness themes in normal-support category."
SRC10,Performance setback,"Poor test score after studying; self-criticism and frustration.",38,normal,R0,31,long_convo,R1,high,"Primary aligns with academic stress/organization; secondary captures self-criticism language over turns."
